time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipProbability,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,windSpeed,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
1378146600,Foggy in the morning.,partly-cloudy-day,1378168735,1378214190,0.94,0,0,0,33.59,1378200600,24.57,1378254600,37.15,1378197000,25.19,1378254600,21.08,0.61,3.4,281,0.31,7,1378197000,4.042,25.48,1378168200,33.59,1378200600,26,1378168200,37.15,1378197000
1378233000,Partly cloudy throughout the day.,partly-cloudy-day,1378255160,1378300525,0.97,0,0,0,33.59,1378287000,24.57,1378341000,35.81,1378283400,25.06,1378341000,20.53,0.62,3.2,275,0.29,9,1378276200,4.132,24.57,1378254600,33.59,1378287000,25.19,1378254600,35.81,1378283400
1378319400,Partly cloudy throughout the day.,partly-cloudy-day,1378341585,1378386859,0.01,0,0,0,33.59,1378377000,24.07,1378427400,34.96,1378377000,24.57,1378427400,19.89,0.6,3.78,275,0.18,9,1378362600,4.797,24.57,1378341000,33.59,1378377000,25.06,1378341000,34.96,1378377000
1378405800,Partly cloudy throughout the day.,partly-cloudy-day,1378428010,1378473193,0.04,0,0,0,34.08,1378463400,24.07,1378513800,35.52,1378463400,24.45,1378513800,19.8,0.6,2.65,274,0.16,3,1378463400,3.971,24.07,1378427400,34.08,1378463400,24.57,1378427400,35.52,1378463400
1378492200,Partly cloudy throughout the day.,partly-cloudy-day,1378514435,1378559527,0.07,0,0,0,34.57,1378549800,26.59,1378600200,35.21,1378546200,27.76,1378600200,18.91,0.55,1.48,273,0.16,5,1378546200,4.252,24.07,1378513800,34.57,1378549800,24.45,1378513800,35.21,1378546200
1378578600,Partly cloudy throughout the day.,partly-cloudy-day,1378600860,1378645860,0.11,0,0,0,35.58,1378636200,25.57,1378686600,36.64,1378636200,26.17,1378686600,18.76,0.5,1.04,250,0.32,9,1378625400,4.404,26.59,1378600200,35.58,1378636200,27.76,1378600200,36.64,1378636200
1378665000,Partly cloudy throughout the day.,partly-cloudy-day,1378687284,1378732193,0.14,0,0,0,35.58,1378719000,26.59,1378765800,37.27,1378719000,28,1378765800,19.57,0.53,1.1,306,0.3,8,1378708200,4.19,25.57,1378686600,35.58,1378719000,26.17,1378686600,37.27,1378719000
1378751400,Partly cloudy throughout the day.,partly-cloudy-day,1378773709,1378818525,0.18,0,0,0,35.58,1378805400,26.08,1378859400,37.27,1378809000,26.55,1378859400,19.16,0.5,1.16,0.26,8,8,1378798200,4.103,26.59,1378765800,35.58,1378805400,28,1378765800,37.27,1378809000
1378837800,Foggy overnight.,partly-cloudy-day,1378860133,1378904858,0.21,0,0,0,36.6,1378899000,27.57,1378945800,37.82,1378899000,29.58,1378945800,18.6,0.48,1.29,322,0.32,6,1378888200,4.146,26.08,1378859400,36.6,1378899000,26.55,1378859400,37.82,1378899000
1378924200,Foggy in the morning and overnight.,partly-cloudy-day,1378946557,1378991190,0.25,0,0,0,37.08,1378978200,27.57,1379032200,39.07,1378978200,30.05,1379032200,20.18,0.5,1.63,93,0.36,9,1378967400,4.047,27.57,1378945800,37.08,1378978200,29.58,1378945800,39.07,1378978200
1379010600,Humid throughout the day.,partly-cloudy-day,1379032982,1379077521,0.29,0,0,0,35.07,1379053800,26.59,1379115000,38.9,1379050200,28.42,1379115000,21.65,0.61,0.8,0.4,9,9,1379053800,3.337,27.57,1379032200,35.07,1379053800,29.81,1379097000,38.9,1379050200
1379097000,Humid throughout the day.,partly-cloudy-day,1379119406,1379163853,0.32,0,0,0,37.08,1379154600,26.59,1379205000,39.23,1379140200,28.27,1379205000,20.63,0.55,0.69,54,0.29,9,1379140200,3.749,26.59,1379115000,37.08,1379154600,28.42,1379115000,39.23,1379140200
